name,value,bound_1,bound_2
c_p,4.502963E-12,1E-14,5E-12
c_m,2.473016E-11,1E-11,9E-11
a0_m,16529.06,10000,100000
b0_m,386.7,100,1000
delta_m,22.823,1,100
s_m,12.8321,1,100
a0_h,6.26,1,100
b0_h,58131.407,10000,100000
delta_h,10.27583,1,100
s_h,21.62,1,100
a0_j,0.6462,0.01,1
b0_j,11358.31,1000,100000
delta_j,7.445,1,100
s_j,69.417,1,100
tau_j_const,0.00132,0.0001,0.005
R,24946770,10000000,100000000
R_f,326421.4,100000,1000000
g_max,8392.4,1000,10000
g_leak,0.4812443,0.01,1
tau_z,0.000100034,1E-05,0.001
v_half_m,28.35802,10,60
v_half_h,59.69117,50,100
k_m,7.66677,1,10
k_h,5.507771,1,10
x_c_comp,0.01,0.01,0.999
x_r_comp,0.2,0.01,0.999
alpha,0.75,0.7,0.8
v_off,-2,-15,15
v_rev,18,-50,50
v_c,-80,-100,100
